,Element,Wavelength,n,k
699,Al,0.30996,0.28003,3.7081
700,Al,0.32628,0.31474,3.9165
701,Al,0.36466,0.39877,4.3957
702,Al,0.41328,0.52135,5.0008
703,Al,0.4428,0.6079,5.3676
704,Al,0.47687,0.7278,5.7781
705,Al,0.5166,0.8734,6.2418
706,Al,0.56357,1.0728,6.7839
707,Al,0.61993,1.366,7.4052
708,Al,0.65225,1.5724,7.7354
709,Al,0.68881,1.8301,8.0601
710,Al,0.72932,2.1606,8.3565
711,Al,0.77491,2.6154,8.4914
712,Al,0.79478,2.7675,8.3866
713,Al,0.81569,2.7668,8.2573
714,Al,0.83774,2.6945,8.1878
715,Al,0.88561,2.2802,8.1134
716,Al,0.91166,1.9739,8.3058
717,Al,0.93928,1.6784,8.597
718,Al,0.96863,1.4867,9.0655
719,Al,0.99988,1.4359,9.4939
720,Al,1.0332,1.3998,9.8914
721,Al,1.1271,1.3281,10.969
722,Al,1.2399,1.3157,12.245
723,Al,1.3776,1.3899,13.784
724,Al,1.5498,1.5782,15.656
725,Al,1.7712,1.9205,17.991
726,Al,2.0664,2.4738,20.982
727,Al,2.4797,3.3372,25.004
728,Al,2.7552,3.938,27.58
729,Al,3.0996,4.7097,30.737
730,Al,3.2628,5.0735,32.183
731,Al,3.444,5.4903,33.814
732,Al,3.6466,5.9564,35.608
733,Al,3.8745,6.4808,37.595
734,Al,4.1328,7.0796,39.826
735,Al,4.428,7.7757,42.367
736,Al,4.7687,8.5881,45.257
737,Al,5.166,9.558,48.593
738,Al,5.6357,10.742,52.518
739,Al,6.1993,12.195,57.156
740,Al,6.8881,14.088,62.841
741,Al,7.7491,16.755,69.857
742,Al,8.8561,20.837,78.274
743,Al,10.332,26.216,88.197
744,Al,12.399,33.519,101.28
745,Al,13.776,38.461,108.96
746,Al,15.498,43.775,118.39
747,Al,17.712,50.951,129.49
748,Al,19.075,54.413,136.09
749,Al,20.664,58.58,144.23
750,Al,22.543,63.554,153.45
751,Al,24.797,68.535,164.81
752,Al,27.552,75.748,181.78
753,Al,30.996,91.955,199.99
754,Al,33.333,102.1,208.1
755,Al,44.444,140.05,243.43
756,Al,57.144,177.93,275.34
757,Al,66.666,202.63,295.42
758,Al,80.001,233.56,321.08
759,Al,99.996,274.38,354.35
760,Al,137.76,339.62,408.92
761,Al,153.85,364.04,429.62
762,Al,177.12,397.93,458.5
763,Au,0.1879,1.28,1.188
764,Au,0.1916,1.32,1.203
765,Au,0.1953,1.34,1.226
766,Au,0.1993,1.33,1.251
767,Au,0.2033,1.33,1.277
768,Au,0.2073,1.3,1.304
769,Au,0.2119,1.3,1.35
770,Au,0.2164,1.3,1.387
771,Au,0.2214,1.3,1.427
772,Au,0.2262,1.31,1.46
773,Au,0.2313,1.3,1.497
774,Au,0.2371,1.32,1.536
775,Au,0.2426,1.32,1.577
776,Au,0.249,1.33,1.631
777,Au,0.2551,1.33,1.688
778,Au,0.2616,1.35,1.749
779,Au,0.2689,1.38,1.803
780,Au,0.2761,1.43,1.847
781,Au,0.2844,1.47,1.869
782,Au,0.2924,1.49,1.878
783,Au,0.3009,1.53,1.889
784,Au,0.3107,1.53,1.893
785,Au,0.3204,1.54,1.898
786,Au,0.3315,1.48,1.883
787,Au,0.3425,1.48,1.871
788,Au,0.3542,1.5,1.866
789,Au,0.3679,1.48,1.895
790,Au,0.3815,1.46,1.933
791,Au,0.3974,1.47,1.952
792,Au,0.4133,1.46,1.958
793,Au,0.4305,1.45,1.948
794,Au,0.4509,1.38,1.914
795,Au,0.4714,1.31,1.849
796,Au,0.4959,1.04,1.833
797,Au,0.5209,0.62,2.081
798,Au,0.5486,0.43,2.455
799,Au,0.5821,0.29,2.863
800,Au,0.6168,0.21,3.272
801,Au,0.6595,0.14,3.697
802,Au,0.7045,0.13,4.103
803,Au,0.756,0.14,4.542
804,Au,0.8211,0.16,5.083
805,Au,0.892,0.17,5.663
806,Au,0.984,0.22,6.35
807,Au,1.088,0.27,7.15
808,Au,1.216,0.35,8.145
809,Au,1.393,0.43,9.519
810,Au,1.61,0.56,11.21
811,Au,1.937,0.92,13.78
812,Au2,0.2066,1.243,1.151
813,Au2,0.2101,1.235,1.182
814,Au2,0.2138,1.231,1.21
815,Au2,0.2175,1.225,1.245
816,Au2,0.2214,1.227,1.279
817,Au2,0.2254,1.228,1.311
818,Au2,0.2296,1.226,1.346
819,Au2,0.2339,1.228,1.381
820,Au2,0.2384,1.23,1.415
821,Au2,0.2431,1.231,1.458
822,Au2,0.248,1.235,1.502
823,Au2,0.253,1.248,1.555
824,Au2,0.2583,1.266,1.607
825,Au2,0.2638,1.291,1.657
826,Au2,0.2695,1.321,1.71
827,Au2,0.2755,1.374,1.757
828,Au2,0.2818,1.427,1.78
829,Au2,0.2883,1.473,1.792
830,Au2,0.2952,1.504,1.798
831,Au2,0.3024,1.536,1.813
832,Au2,0.31,1.571,1.83
833,Au2,0.3179,1.615,1.83
834,Au2,0.3263,1.655,1.816
835,Au2,0.3351,1.668,1.778
836,Au2,0.3444,1.642,1.751
837,Au2,0.3542,1.61,1.755
838,Au2,0.3647,1.59,1.78
839,Au2,0.3757,1.576,1.801
840,Au2,0.3875,1.568,1.824
841,Au2,0.3999,1.569,1.839
842,Au2,0.4133,1.559,1.825
843,Au2,0.4275,1.53,1.811
844,Au2,0.4428,1.486,1.797
845,Au2,0.4592,1.457,1.736
846,Au2,0.4769,1.266,1.56
847,Au2,0.4959,0.8564,1.629
848,Au2,0.5166,0.502,1.853
849,Au2,0.5391,0.329,2.249
850,Au2,0.5636,0.2452,2.569
851,Au2,0.5904,0.1823,2.88
852,Au2,0.6199,0.1357,3.204
853,Au2,0.6525,0.1091,3.529
854,Au2,0.6888,0.08524,3.871
855,Au2,0.7293,0.07661,4.242
856,Au2,0.7749,0.07883,4.63
857,Au2,0.8266,0.08019,5.05
858,Au2,0.8856,0.087,5.517
859,Au2,0.9537,0.0944,6.038
860,Au2,1.033,0.1018,6.633
861,Au2,1.127,0.1098,7.332
862,Au2,1.24,0.1351,8.142
863,Au2,1.305,0.1324,8.613
864,Au2,1.378,0.1488,9.141
865,Au2,1.459,0.1677,9.72
866,Au2,1.55,0.1898,10.35
867,Au2,1.653,0.1864,11.08
868,Au2,1.771,0.2159,11.93
869,Au2,1.907,0.2514,12.89
870,Au2,2.254,0.3542,15.3
871,Au2,2.48,0.4296,16.86
872,Au2,2.755,0.5293,18.72
873,Au2,3.1,0.5591,21.09
874,Au2,3.542,0.7358,24.2
875,Au2,4.133,1.004,28.27
876,Au2,4.959,1.448,33.95
877,Au2,6.199,2.264,42.43
878,Au2,8.266,4.018,56.47
879,Au2,12.4,8.964,84.09
880,BK7,0.29,1.5558561870629,0.0
881,BK7,0.3111,1.548495020957,0.0
882,BK7,0.3322,1.5426830976732,0.0
883,BK7,0.3533,1.5380029355441,0.0
884,BK7,0.3744,1.5341703781296,0.0
885,BK7,0.3955,1.530986071967,0.0
886,BK7,0.4166,1.5283065225149,0.0
887,BK7,0.4377,1.5260261389031,0.0
888,BK7,0.4588,1.5240657173123,0.0
889,BK7,0.4799,1.5223648380199,0.0
890,BK7,0.501,1.520876718153,0.0
891,BK7,0.5221,1.5195646487661,0.0
892,BK7,0.5432,1.5183994794683,0.0
893,BK7,0.5643,1.5173578109887,0.0
894,BK7,0.5854,1.516420675631,0.0
895,BK7,0.6065,1.5155725599572,0.0
896,BK7,0.6276,1.5148006714031,0.0
897,BK7,0.6487,1.514094381315,0.0
898,BK7,0.6698,1.5134447972978,0.0
899,BK7,0.6909,1.5128444315128,0.0
900,BK7,0.712,1.5122869409802,0.0
901,BK7,0.7331,1.5117669224866,0.0
902,BK7,0.7542,1.5112797493036,0.0
903,BK7,0.7753,1.5108214402145,0.0
904,BK7,0.7964,1.5103885537153,0.0
905,BK7,0.8175,1.5099781019869,0.0
906,BK7,0.8386,1.5095874805111,0.0
907,BK7,0.8597,1.5092144101495,0.0
908,BK7,0.8808,1.5088568892172,0.0
909,BK7,0.9019,1.5085131536204,0.0
910,BK7,0.923,1.5081816435401,0.0
911,BK7,0.9441,1.5078609754556,0.0
912,BK7,0.9652,1.5075499185503,0.0
913,BK7,0.9863,1.5072473747293,0.0
914,BK7,1.007,1.5069578898228,0.0
915,BK7,1.029,1.5066572388624,0.0
916,BK7,1.05,1.5063761881044,0.0
917,BK7,1.071,1.5061002189976,0.0
918,BK7,1.092,1.5058286964679,0.0
919,BK7,1.113,1.5055610451467,0.0
920,BK7,1.134,1.5052967426338,0.0
921,BK7,1.155,1.5050353136295,0.0
922,BK7,1.176,1.5047763248114,0.0
923,BK7,1.197,1.5045193803493,0.0
924,BK7,1.218,1.5042641179675,0.0
925,BK7,1.24,1.5039981427831,0.0
926,BK7,1.261,1.5037453176044,0.0
927,BK7,1.282,1.5034932435483,0.0
928,BK7,1.303,1.5032416627313,0.0
929,BK7,1.324,1.5029903369927,0.0
930,BK7,1.345,1.5027390460156,0.0
931,BK7,1.366,1.5024875856521,0.0
932,BK7,1.387,1.502235766427,0.0
933,BK7,1.408,1.5019834121998,0.0
934,BK7,1.429,1.5017303589643,0.0
935,BK7,1.451,1.5014643393272,0.0
936,BK7,1.472,1.5012093885424,0.0
937,BK7,1.493,1.5009533031483,0.0
938,BK7,1.514,1.5006959583112,0.0
939,BK7,1.535,1.5004372368817,0.0
940,BK7,1.556,1.5001770287537,0.0
941,BK7,1.577,1.4999152302828,0.0
942,BK7,1.598,1.499651743759,0.0
943,BK7,1.619,1.4993864769274,0.0
944,BK7,1.64,1.4991193425519,0.0
945,BK7,1.662,1.4988373944739,0.0
946,BK7,1.683,1.49856618294,0.0
947,BK7,1.704,1.4982928650069,0.0
948,BK7,1.725,1.4980173700321,0.0
949,BK7,1.746,1.4977396307058,0.0
950,BK7,1.767,1.497459582797,0.0
951,BK7,1.788,1.4971771649208,0.0
952,BK7,1.809,1.4968923183239,0.0
953,BK7,1.83,1.4966049866882,0.0
954,BK7,1.851,1.4963151159486,0.0
955,BK7,1.873,1.4960086618835,0.0
956,BK7,1.894,1.4957134319464,0.0
957,BK7,1.915,1.4954155103657,0.0
958,BK7,1.936,1.4951148506159,0.0
959,BK7,1.957,1.4948114077005,0.0
960,BK7,1.978,1.4945051380391,0.0
961,BK7,1.999,1.4941959993627,0.0
962,BK7,2.02,1.4938839506165,0.0
963,BK7,2.041,1.4935689518694,0.0
964,BK7,2.062,1.4932509642296,0.0
965,BK7,2.084,1.4929145872305,0.0
966,BK7,2.105,1.4925903620936,0.0
967,BK7,2.126,1.4922630351626,0.0
968,BK7,2.147,1.4919325710053,0.0
969,BK7,2.168,1.4915989348833,0.0
970,BK7,2.189,1.4912620926963,0.0
971,BK7,2.21,1.4909220109301,0.0
972,BK7,2.231,1.4905786566076,0.0
973,BK7,2.252,1.4902319972432,0.0
974,BK7,2.273,1.4898820007996,0.0
975,BK7,2.295,1.4895117241749,0.0
976,BK7,2.316,1.4891547963765,0.0
977,BK7,2.337,1.4887944362181,0.0
978,BK7,2.358,1.4884306130865,0.0
979,BK7,2.379,1.4880632966346,0.0
980,BK7_2,5.0,1.3995,0.0369
981,BK7_2,5.005,1.3994,0.0365
982,BK7_2,5.01,1.3993,0.0361
983,BK7_2,5.015,1.3991,0.0358
984,BK7_2,5.0201,1.3991,0.0354
985,BK7_2,5.0251,1.399,0.035
986,BK7_2,5.0302,1.3991,0.0346
987,BK7_2,5.0352,1.3993,0.0342
988,BK7_2,5.0403,1.3996,0.0338
989,BK7_2,5.0454,1.3998,0.0333
990,BK7_2,5.0505,1.3998,0.0329
991,BK7_2,5.0556,1.3995,0.0324
992,BK7_2,5.0607,1.3986,0.0319
993,BK7_2,5.0659,1.397,0.0315
994,BK7_2,5.071,1.3952,0.0311
995,BK7_2,5.0761,1.3938,0.0307
996,BK7_2,5.0813,1.3933,0.0303
997,BK7_2,5.0865,1.3933,0.03
998,BK7_2,5.0916,1.3936,0.0298
999,BK7_2,5.0968,1.3937,0.0296
1000,BK7_2,5.102,1.3935,0.0294
1001,BK7_2,5.1073,1.3928,0.0292
1002,BK7_2,5.1125,1.3917,0.029
1003,BK7_2,5.1177,1.3902,0.0289
1004,BK7_2,5.123,1.3889,0.0287
1005,BK7_2,5.1282,1.3878,0.0286
1006,BK7_2,5.1335,1.3873,0.0285
1007,BK7_2,5.1387,1.3871,0.0284
1008,BK7_2,5.144,1.3873,0.0282
1009,BK7_2,5.1493,1.3875,0.0281
1010,BK7_2,5.1546,1.3878,0.028
1011,BK7_2,5.16,1.3879,0.0278
1012,BK7_2,5.1653,1.3879,0.0277
1013,BK7_2,5.1706,1.3879,0.0275
1014,BK7_2,5.176,1.3878,0.0273
1015,BK7_2,5.1813,1.3876,0.0271
1016,BK7_2,5.1867,1.3875,0.0269
1017,BK7_2,5.1921,1.3875,0.0267
1018,BK7_2,5.1975,1.3874,0.0265
1019,BK7_2,5.2029,1.3875,0.0264
1020,BK7_2,5.2083,1.3877,0.0263
1021,BK7_2,5.2138,1.3881,0.0262
1022,BK7_2,5.2192,1.3882,0.0262
1023,BK7_2,5.2247,1.3878,0.0261
1024,BK7_2,5.2301,1.3869,0.0261
1025,BK7_2,5.2356,1.3856,0.0261
1026,BK7_2,5.2411,1.3843,0.0261
1027,BK7_2,5.2466,1.383,0.0261
1028,BK7_2,5.2521,1.3821,0.0261
1029,BK7_2,5.2576,1.3815,0.0262
1030,BK7_2,5.2632,1.3813,0.0263
1031,BK7_2,5.2687,1.3814,0.0263
1032,BK7_2,5.2743,1.3816,0.0264
1033,BK7_2,5.2798,1.3818,0.0265
1034,BK7_2,5.2854,1.3819,0.0266
1035,BK7_2,5.291,1.3818,0.0268
1036,BK7_2,5.2966,1.3818,0.0269
1037,BK7_2,5.3022,1.3817,0.027
1038,BK7_2,5.3079,1.3818,0.0271
1039,BK7_2,5.3135,1.382,0.0272
1040,BK7_2,5.3191,1.3822,0.0272
1041,BK7_2,5.3248,1.3823,0.0272
1042,BK7_2,5.3305,1.3821,0.0271
1043,BK7_2,5.3362,1.3814,0.0269
1044,BK7_2,5.3419,1.38,0.0266
1045,BK7_2,5.3476,1.3782,0.0263
1046,BK7_2,5.3533,1.3766,0.026
1047,BK7_2,5.3591,1.3758,0.0256
1048,BK7_2,5.3648,1.3755,0.0252
1049,BK7_2,5.3706,1.3755,0.0248
1050,BK7_2,5.3763,1.3757,0.0245
1051,BK7_2,5.3821,1.376,0.0242
1052,BK7_2,5.3879,1.3761,0.0241
1053,BK7_2,5.3937,1.376,0.024
1054,BK7_2,5.3996,1.376,0.024
1055,BK7_2,5.4054,1.3759,0.0242
1056,BK7_2,5.4113,1.3759,0.0243
1057,BK7_2,5.4171,1.3761,0.0244
1058,BK7_2,5.423,1.3764,0.0244
1059,BK7_2,5.4289,1.3765,0.0243
1060,BK7_2,5.4348,1.3764,0.0241
1061,BK7_2,5.4407,1.3759,0.0238
1062,BK7_2,5.4466,1.3749,0.0234
1063,BK7_2,5.4526,1.3736,0.023
1064,BK7_2,5.4585,1.3722,0.0226
1065,BK7_2,5.4645,1.3709,0.0222
1066,BK7_2,5.4705,1.3702,0.0217
1067,BK7_2,5.4765,1.3699,0.0212
1068,BK7_2,5.4825,1.37,0.0208
1069,BK7_2,5.4885,1.3702,0.0204
1070,BK7_2,5.4945,1.3703,0.02
1071,BK7_2,5.5006,1.37,0.0196
1072,BK7_2,5.5066,1.3692,0.0193
1073,BK7_2,5.5127,1.368,0.019
1074,BK7_2,5.5188,1.3666,0.0187
1075,BK7_2,5.5249,1.3652,0.0185
1076,BK7_2,5.531,1.3639,0.0184
1077,BK7_2,5.5371,1.3628,0.0182
1078,BK7_2,5.5432,1.3617,0.0182
1079,BK7_2,5.5494,1.3606,0.0181
1080,BK7_2,5.5556,1.3594,0.0181
1081,BK7_2,5.5617,1.3578,0.018
1082,BK7_2,5.5679,1.3561,0.018
1083,BK7_2,5.5741,1.3545,0.018
1084,BK7_2,5.5804,1.3534,0.0181
1085,BK7_2,5.5866,1.3529,0.0181
1086,BK7_2,5.5928,1.3528,0.0181
1087,BK7_2,5.5991,1.3529,0.0182
1088,BK7_2,5.6054,1.353,0.0182
1089,BK7_2,5.6117,1.3532,0.0182
1090,BK7_2,5.618,1.3532,0.0183
1091,BK7_2,5.6243,1.3532,0.0183
1092,BK7_2,5.6306,1.3531,0.0183
1093,BK7_2,5.637,1.3531,0.0183
1094,BK7_2,5.6433,1.3531,0.0184
1095,BK7_2,5.6497,1.3533,0.0184
1096,BK7_2,5.6561,1.3536,0.0184
1097,BK7_2,5.6625,1.3536,0.0184
1098,BK7_2,5.6689,1.3534,0.0184
1099,BK7_2,5.6754,1.3528,0.0184
1100,BK7_2,5.6818,1.3517,0.0184
1101,BK7_2,5.6883,1.3504,0.0184
1102,BK7_2,5.6948,1.3491,0.0184
1103,BK7_2,5.7013,1.3479,0.0184
1104,BK7_2,5.7078,1.3471,0.0185
1105,BK7_2,5.7143,1.3467,0.0185
1106,BK7_2,5.7208,1.3467,0.0185
1107,BK7_2,5.7274,1.3469,0.0185
1108,BK7_2,5.7339,1.3472,0.0186
1109,BK7_2,5.7405,1.3476,0.0186
1110,BK7_2,5.7471,1.3479,0.0186
1111,BK7_2,5.7537,1.3481,0.0186
1112,BK7_2,5.7604,1.3479,0.0186
1113,BK7_2,5.767,1.3474,0.0186
1114,BK7_2,5.7737,1.3464,0.0186
1115,BK7_2,5.7803,1.3451,0.0185
1116,BK7_2,5.787,1.3437,0.0185
1117,BK7_2,5.7937,1.3425,0.0184
1118,BK7_2,5.8005,1.3416,0.0183
1119,BK7_2,5.8072,1.3413,0.0182
1120,BK7_2,5.814,1.3414,0.0181
1121,BK7_2,5.8207,1.3416,0.0179
1122,BK7_2,5.8275,1.3417,0.0178
1123,BK7_2,5.8343,1.3415,0.0176
1124,BK7_2,5.8411,1.3409,0.0174
1125,BK7_2,5.848,1.3399,0.0172
1126,BK7_2,5.8548,1.3387,0.0171
1127,BK7_2,5.8617,1.3371,0.0169
1128,BK7_2,5.8685,1.3353,0.0167
1129,BK7_2,5.8754,1.3333,0.0165
1130,BK7_2,5.8824,1.3315,0.0164
1131,BK7_2,5.8893,1.3305,0.0162
1132,BK7_2,5.8962,1.3303,0.0161
1133,BK7_2,5.9032,1.3307,0.016
1134,BK7_2,5.9102,1.3311,0.0159
1135,BK7_2,5.9172,1.3312,0.0159
1136,BK7_2,5.9242,1.3306,0.0159
1137,BK7_2,5.9312,1.3291,0.0159
1138,BK7_2,5.9382,1.3268,0.0159
1139,BK7_2,5.9453,1.324,0.016
1140,BK7_2,5.9524,1.3213,0.0162
1141,BK7_2,5.9595,1.3193,0.0164
1142,BK7_2,5.9666,1.3183,0.0165
1143,BK7_2,5.9737,1.3182,0.0168
1144,BK7_2,5.9809,1.3185,0.017
1145,BK7_2,5.988,1.3189,0.0173
1146,BK7_2,5.9952,1.3189,0.0175
1147,BK7_2,6.0024,1.3182,0.0178
1148,BK7_2,6.0096,1.317,0.0181
1149,BK7_2,6.0168,1.3155,0.0183
1150,BK7_2,6.0241,1.3142,0.0186
1151,BK7_2,6.0314,1.3132,0.0188
1152,BK7_2,6.0386,1.3127,0.019
1153,BK7_2,6.0459,1.3126,0.0191
1154,BK7_2,6.0533,1.3128,0.0193
1155,BK7_2,6.0606,1.313,0.0193
1156,BK7_2,6.068,1.3133,0.0194
1157,BK7_2,6.0753,1.3133,0.0193
1158,BK7_2,6.0827,1.3133,0.0192
1159,BK7_2,6.0901,1.3132,0.0191
1160,BK7_2,6.0976,1.3132,0.0188
1161,BK7_2,6.105,1.3133,0.0185
1162,BK7_2,6.1125,1.3133,0.0181
1163,BK7_2,6.12,1.3133,0.0176
1164,BK7_2,6.1275,1.3132,0.0171
1165,BK7_2,6.135,1.3128,0.0166
1166,BK7_2,6.1425,1.3122,0.016
1167,BK7_2,6.1501,1.3112,0.0155
1168,BK7_2,6.1576,1.3098,0.0149
1169,BK7_2,6.1652,1.3079,0.0143
1170,BK7_2,6.1728,1.3054,0.0138
1171,BK7_2,6.1805,1.3027,0.0134
1172,BK7_2,6.1881,1.3001,0.0129
1173,BK7_2,6.1958,1.2978,0.0126
1174,BK7_2,6.2035,1.2962,0.0123
1175,BK7_2,6.2112,1.2956,0.012
1176,BK7_2,6.2189,1.2957,0.0118
1177,BK7_2,6.2267,1.2961,0.0117
1178,BK7_2,6.2344,1.2963,0.0115
1179,BK7_2,6.2422,1.2961,0.0114
1180,BK7_2,6.25,1.2951,0.0114
1181,BK7_2,6.2578,1.2937,0.0113
1182,BK7_2,6.2657,1.2922,0.0113
1183,BK7_2,6.2735,1.291,0.0113
1184,BK7_2,6.2814,1.2904,0.0114
1185,BK7_2,6.2893,1.2904,0.0114
1186,BK7_2,6.2972,1.2908,0.0115
1187,BK7_2,6.3052,1.2911,0.0116
1188,BK7_2,6.3131,1.2909,0.0117
1189,BK7_2,6.3211,1.2896,0.0118
1190,BK7_2,6.3291,1.2869,0.0119
1191,BK7_2,6.3371,1.2834,0.012
1192,BK7_2,6.3452,1.2802,0.0121
1193,BK7_2,6.3532,1.2779,0.0121
1194,BK7_2,6.3613,1.2764,0.0121
1195,BK7_2,6.3694,1.2754,0.012
1196,BK7_2,6.3776,1.2746,0.0119
1197,BK7_2,6.3857,1.2738,0.0117
1198,BK7_2,6.3939,1.2728,0.0115
1199,BK7_2,6.402,1.2717,0.0114
1200,BK7_2,6.4103,1.2705,0.0112
1201,BK7_2,6.4185,1.2693,0.011
1202,BK7_2,6.4267,1.268,0.0109
1203,BK7_2,6.435,1.2668,0.0109
1204,BK7_2,6.4433,1.2656,0.011
1205,BK7_2,6.4516,1.2644,0.0111
1206,BK7_2,6.4599,1.2633,0.0115
1207,BK7_2,6.4683,1.2622,0.012
1208,BK7_2,6.4767,1.261,0.0127
1209,BK7_2,6.4851,1.2598,0.0135
1210,BK7_2,6.4935,1.2581,0.0142
1211,BK7_2,6.502,1.256,0.0147
1212,BK7_2,6.5104,1.2537,0.0149
1213,BK7_2,6.5189,1.2512,0.0147
1214,BK7_2,6.5274,1.2488,0.0142
1215,BK7_2,6.5359,1.2465,0.0137
1216,BK7_2,6.5445,1.2446,0.0133
1217,BK7_2,6.5531,1.2431,0.0129
1218,BK7_2,6.5617,1.2419,0.0127
1219,BK7_2,6.5703,1.2409,0.0127
1220,BK7_2,6.5789,1.2401,0.0128
1221,BK7_2,6.5876,1.2394,0.0131
1222,BK7_2,6.5963,1.2386,0.0135
1223,BK7_2,6.605,1.2376,0.0138
1224,BK7_2,6.6138,1.2364,0.0143
1225,BK7_2,6.6225,1.2346,0.0147
1226,BK7_2,6.6313,1.2321,0.0152
1227,BK7_2,6.6401,1.2288,0.0156
1228,BK7_2,6.6489,1.2256,0.016
1229,BK7_2,6.6578,1.2231,0.0163
1230,BK7_2,6.6667,1.2215,0.0166
1231,BK7_2,6.6756,1.2204,0.0168
1232,BK7_2,6.6845,1.2194,0.0169
1233,BK7_2,6.6934,1.2185,0.0169
1234,BK7_2,6.7024,1.2172,0.0169
1235,BK7_2,6.7114,1.2154,0.0169
1236,BK7_2,6.7204,1.2132,0.0168
1237,BK7_2,6.7295,1.2106,0.0167
1238,BK7_2,6.7385,1.208,0.0167
1239,BK7_2,6.7476,1.2054,0.0168
1240,BK7_2,6.7568,1.2028,0.0171
1241,BK7_2,6.7659,1.2004,0.0178
1242,BK7_2,6.7751,1.1981,0.0189
1243,BK7_2,6.7843,1.196,0.0204
1244,BK7_2,6.7935,1.194,0.022
1245,BK7_2,6.8027,1.1924,0.0235
1246,BK7_2,6.812,1.191,0.0248
1247,BK7_2,6.8213,1.1898,0.0258
1248,BK7_2,6.8306,1.1885,0.0265
1249,BK7_2,6.8399,1.1873,0.0271
1250,BK7_2,6.8493,1.1861,0.0275
1251,BK7_2,6.8587,1.1849,0.0279
1252,BK7_2,6.8681,1.1838,0.0281
1253,BK7_2,6.8776,1.1829,0.0283
1254,BK7_2,6.8871,1.182,0.0285
1255,BK7_2,6.8966,1.181,0.0286
1256,BK7_2,6.9061,1.1797,0.0286
1257,BK7_2,6.9156,1.1781,0.0287
1258,BK7_2,6.9252,1.176,0.0288
1259,BK7_2,6.9348,1.1736,0.0292
1260,BK7_2,6.9444,1.1711,0.0299
1261,BK7_2,6.9541,1.1686,0.0308
1262,BK7_2,6.9638,1.1665,0.0319
1263,BK7_2,6.9735,1.165,0.0332
1264,BK7_2,6.9832,1.1639,0.0345
1265,BK7_2,6.993,1.1625,0.0358
1266,BK7_2,7.0028,1.1606,0.0371
1267,BK7_2,7.0126,1.158,0.0383
1268,BK7_2,7.0225,1.1553,0.0394
1269,BK7_2,7.0323,1.1528,0.0403
1270,BK7_2,7.0423,1.1507,0.0408
1271,BK7_2,7.0522,1.1495,0.0411
1272,BK7_2,7.0621,1.1491,0.0413
1273,BK7_2,7.0721,1.1493,0.0421
1274,BK7_2,7.0822,1.1497,0.0432
1275,BK7_2,7.0922,1.1499,0.0441
1276,BK7_2,7.1023,1.1496,0.0447
1277,BK7_2,7.1124,1.1486,0.0451
1278,BK7_2,7.1225,1.1473,0.0453
1279,BK7_2,7.1327,1.1459,0.0454
1280,BK7_2,7.1429,1.1445,0.0454
1281,BK7_2,7.1531,1.1433,0.0453
1282,BK7_2,7.1633,1.1423,0.0451
1283,BK7_2,7.1736,1.1413,0.045
1284,BK7_2,7.1839,1.1402,0.0448
1285,BK7_2,7.1942,1.1387,0.0446
1286,BK7_2,7.2046,1.1364,0.0444
1287,BK7_2,7.215,1.1335,0.0442
1288,BK7_2,7.2254,1.1302,0.044
1289,BK7_2,7.2359,1.1271,0.0438
1290,BK7_2,7.2464,1.1244,0.0436
1291,BK7_2,7.2569,1.122,0.0435
1292,BK7_2,7.2674,1.1197,0.0434
1293,BK7_2,7.278,1.1176,0.0433
1294,BK7_2,7.2886,1.1156,0.0433
1295,BK7_2,7.2993,1.1137,0.0433
1296,BK7_2,7.3099,1.1117,0.0433
1297,BK7_2,7.3206,1.1094,0.0433
1298,BK7_2,7.3314,1.1067,0.0434
1299,BK7_2,7.3421,1.1034,0.0435
1300,BK7_2,7.3529,1.0993,0.0436
1301,BK7_2,7.3638,1.0947,0.0437
1302,BK7_2,7.3746,1.09,0.0437
1303,BK7_2,7.3855,1.0859,0.0438
1304,BK7_2,7.3964,1.0826,0.0439
1305,BK7_2,7.4074,1.0799,0.0439
1306,BK7_2,7.4184,1.0776,0.0439
1307,BK7_2,7.4294,1.0755,0.0439
1308,BK7_2,7.4405,1.0734,0.0439
1309,BK7_2,7.4516,1.0712,0.0439
1310,BK7_2,7.4627,1.0689,0.0438
1311,BK7_2,7.4738,1.0661,0.0438
1312,BK7_2,7.485,1.0627,0.0437
1313,BK7_2,7.4963,1.0586,0.0437
1314,BK7_2,7.5075,1.0539,0.0436
1315,BK7_2,7.5188,1.0489,0.0435
1316,BK7_2,7.5301,1.0439,0.0435
1317,BK7_2,7.5415,1.0393,0.0434
1318,BK7_2,7.5529,1.0351,0.0434
1319,BK7_2,7.5643,1.0317,0.0434
1320,BK7_2,7.5758,1.029,0.0434
1321,BK7_2,7.5873,1.0266,0.0434
1322,BK7_2,7.5988,1.0236,0.0434
1323,BK7_2,7.6104,1.0196,0.0434
1324,BK7_2,7.622,1.0144,0.0435
1325,BK7_2,7.6336,1.0084,0.0436
1326,BK7_2,7.6453,1.0021,0.0437
1327,BK7_2,7.657,0.996,0.0438
1328,BK7_2,7.6687,0.9905,0.0439
1329,BK7_2,7.6805,0.9848,0.044
1330,BK7_2,7.6923,0.9781,0.0442
1331,BK7_2,7.7042,0.9704,0.0443
1332,BK7_2,7.716,0.9624,0.0444
1333,BK7_2,7.728,0.9544,0.0445
1334,BK7_2,7.7399,0.9467,0.0446
